Country,Continent,Rank,Title,Artists,Album,Explicit,Duration
Global,Global,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Global,Global,2,Blinding Lights,The Weeknd,After Hours,0,3:20
Argentina,South America,1,Colocao,Nicki Nicole,Colocao,1,2:59
Vietnam,Asia,50,Blinding Lights,The Weeknd,After Hours,0,3:20
